CIS	CISLabel	BN	BNlabel	NIMED	UCD13	CISLabel_processed
CIS61162942	ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/BNe68f8sljoh653nnb79j3vffl93cpsoij	ASPEGIC	7100	3400890072977	aspegic 500 mg, poudre pour solution buvable en sachet-dose
CIS61348441	KARDEGIC 160 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/BNntab5t21sddeqvbs5531h143o2knmbae	KARDEGIC	5242	3400891576023	kardegic 160 mg, poudre pour solution buvable en sachet
CIS61172160	ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent	http://www.romedi.fr/romedi/BNvnlp7f89odf80s6nrdmtce56kfjp4fbm	ASPIRINE	5334	3400891569339	aspirine upsa tamponnee effervescente 1000 mg, comprime effervescent
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/BNruekc14hg9osfj5ui8mtd6ucepemftua	MIGPRIV	8140	3400891635317	migpriv, poudre pour solution buvable en sachet
CIS63936571	ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/BNe68f8sljoh653nnb79j3vffl93cpsoij	ASPEGIC	7099	3400890072748	aspegic adultes 1000 mg, poudre pour solution buvable en sachet-dose
CIS62018101	KARDEGIC 500 mg/5 ml, poudre pour solution injectable	http://www.romedi.fr/romedi/BNntab5t21sddeqvbs5531h143o2knmbae	KARDEGIC	15210	3400892245287	kardegic 500 mg/5 ml, poudre pour solution injectable
CIS61952274	DUOPLAVIN 75 mg/75 mg, comprimé pelliculé	http://www.romedi.fr/romedi/BNpd37sf5ek7tu69oe60nfni69mm44ht3c	DUOPLAVIN	25462	3400893478400	duoplavin 75 mg/75 mg, comprime pellicule
CIS62406125	PRAVADUAL, comprimé	http://www.romedi.fr/romedi/BNstah78i30g8a4p4u776scc8h14bnoutq	PRAVADUAL	21740	3400892791333	pravadual, comprime
CIS61464022	ASPIRINE PROTECT 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/BNhkqb5k9pjtpnc0ija9gc4a1ttuksn3bl	ASPIRINE PROTECT	27992	3400893998601	aspirine protect 100 mg, comprime gastro-resistant
CIS63346396	RESITUNE 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/BNoj39crprntl0nn1rqf873tpsn6eeuh8f	RESITUNE	30927	3400894213932	resitune 100 mg, comprime gastro-resistant
CIS66311831	ASPEGIC ENFANTS 250, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/BNe68f8sljoh653nnb79j3vffl93cpsoij	ASPEGIC	7341	3400890072809	aspegic enfants 250, poudre pour solution buvable en sachet-dose
CIS66769394	ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/BNe68f8sljoh653nnb79j3vffl93cpsoij	ASPEGIC	1014	3400890072229	aspegic nourrissons 100 mg, poudre pour solution buvable en sachet-dose
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/BNtgkihks31apq5vqvt8tbft5h7jpg5juo	NOVACETOL (ASPIRINE PARACETAMOL)	1628	3400890638067	novacetol (aspirine paracetamol), comprime
CIS67831952	ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent	http://www.romedi.fr/romedi/BN1q26ljmn88kdh1u1a23afcsedko5qoqb	ASPIRINE VITAMINE C	1010	3400890075701	aspirine upsa vitaminee c tamponnee effervescente, comprime effervescent
CIS69781373	ASPIRINE pH 8 500 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/BN2g20bk9ag3eliceakg859kkto7un8hlc	ASPIRINE pH	4181	3400890075350	aspirine ph 8 500 mg, comprime gastro-resistant
CIS68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	http://www.romedi.fr/romedi/BNf49lagqvnbmg7qhhoikavc8o72ltddkk	ASPEGIC INJECTABLE	10977	3400890072458	aspegic injectable 1 g, poudre et solution pour preparation injectable
CIS68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	http://www.romedi.fr/romedi/BNf49lagqvnbmg7qhhoikavc8o72ltddkk	ASPEGIC INJECTABLE	4057	3400890072687	aspegic injectable 1 g, poudre et solution pour preparation injectable
