CIS	CISLabel	drugClass	drugClassLabel	CISLabel_processed	drugClassLabel_processed
CIS61162942	ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspegic 500 mg, poudre pour solution buvable en sachet-dose	antiagregants plaquettaires
CIS61162942	ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspegic 500 mg, poudre pour solution buvable en sachet-dose	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS61348441	KARDEGIC 160 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	kardegic 160 mg, poudre pour solution buvable en sachet	antiagregants plaquettaires
CIS61348441	KARDEGIC 160 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	kardegic 160 mg, poudre pour solution buvable en sachet	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS61172160	ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspirine upsa tamponnee effervescente 1000 mg, comprime effervescent	antiagregants plaquettaires
CIS61172160	ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	aspirine upsa tamponnee effervescente 1000 mg, comprime effervescent	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	migpriv, poudre pour solution buvable en sachet	antiagregants plaquettaires
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10111	médicaments méthémoglobinisants	migpriv, poudre pour solution buvable en sachet	medicaments methemoglobinisants
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10115	médicaments sédatifs	migpriv, poudre pour solution buvable en sachet	medicaments sedatifs
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10122	neuroleptiques	migpriv, poudre pour solution buvable en sachet	neuroleptiques
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10123	neuroleptiques antiémétiques	migpriv, poudre pour solution buvable en sachet	neuroleptiques antiemetiques
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/DrugClass10140	substances à absorption réduite par les topiques gastro-intestinaux, antiacides et adsorbants	migpriv, poudre pour solution buvable en sachet	substances a absorption reduite par les topiques gastro-intestinaux, antiacides et adsorbants
CIS63936571	ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/DrugClass10018	antiagrégants plaquettaires	aspegic adultes 1000 mg, poudre pour solution buvable en sachet-dose	antiagregants plaquettaires
