CIS	CISLabel	IN	INlabel	drugUri	CISLabel_processed	INlabel_processed
CIS61162942	ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspegic 500 mg, poudre pour solution buvable en sachet-dose	acide acetylsalicylique
CIS61348441	KARDEGIC 160 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	kardegic 160 mg, poudre pour solution buvable en sachet	acide acetylsalicylique
CIS61172160	ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine upsa tamponnee effervescente 1000 mg, comprime effervescent	acide acetylsalicylique
CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	migpriv, poudre pour solution buvable en sachet	acide acetylsalicylique
CIS63936571	ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspegic adultes 1000 mg, poudre pour solution buvable en sachet-dose	acide acetylsalicylique
CIS62018101	KARDEGIC 500 mg/5 ml, poudre pour solution injectable	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	kardegic 500 mg/5 ml, poudre pour solution injectable	acide acetylsalicylique
CIS61952274	DUOPLAVIN 75 mg/75 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	duoplavin 75 mg/75 mg, comprime pellicule	acide acetylsalicylique
CIS62406125	PRAVADUAL, comprimé	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	pravadual, comprime	acide acetylsalicylique
CIS61464022	ASPIRINE PROTECT 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine protect 100 mg, comprime gastro-resistant	acide acetylsalicylique
CIS63346396	RESITUNE 100 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	resitune 100 mg, comprime gastro-resistant	acide acetylsalicylique
CIS66311831	ASPEGIC ENFANTS 250, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspegic enfants 250, poudre pour solution buvable en sachet-dose	acide acetylsalicylique
CIS66769394	ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspegic nourrissons 100 mg, poudre pour solution buvable en sachet-dose	acide acetylsalicylique
CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	novacetol (aspirine paracetamol), comprime	acide acetylsalicylique
CIS67831952	ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine upsa vitaminee c tamponnee effervescente, comprime effervescent	acide acetylsalicylique
CIS69781373	ASPIRINE pH 8 500 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine ph 8 500 mg, comprime gastro-resistant	acide acetylsalicylique
CIS68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspegic injectable 1 g, poudre et solution pour preparation injectable	acide acetylsalicylique
CIS68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspegic injectable 500 mg/5 ml, poudre et solution pour usage parenteral	acide acetylsalicylique
CIS68799614	ASPIRINE DU RHÔNE 500 mg, comprimé	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine du rhone 500 mg, comprime	acide acetylsalicylique
CIS64872883	ASPIRINE PROTECT 300 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine protect 300 mg, comprime gastro-resistant	acide acetylsalicylique
CIS64755969	KARDEGIC 75 mg, poudre pour solution buvable en sachet-dose	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	kardegic 75 mg, poudre pour solution buvable en sachet-dose	acide acetylsalicylique
CIS64866332	ASASANTINE L.P. 200 mg/25 mg, gélule à libération prolongée	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	asasantine l.p. 200 mg/25 mg, gelule a liberation prolongee	acide acetylsalicylique
CIS65265765	ASPIRINE UPSA 500 mg, comprimé effervescent	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine upsa 500 mg, comprime effervescent	acide acetylsalicylique
CIS66565609	ASPIRINE RICHARD 500 mg, comprimé	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine richard 500 mg, comprime	acide acetylsalicylique
CIS68815221	KARDEGIC 300 mg, poudre pour solution buvable en sachet	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	kardegic 300 mg, poudre pour solution buvable en sachet	acide acetylsalicylique
CIS69029253	ASPIRINE DU RHONE 500 mg, comprimé à croquer	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	aspirine du rhone 500 mg, comprime a croquer	acide acetylsalicylique
CIS68604982	RESITUNE 75 mg, comprimé gastro-résistant	http://www.romedi.fr/romedi/INhpbtnq2pnds7f9lb80912iia7ttg68r8	ACIDE ACÉTYLSALICYLIQUE	Q18216	resitune 75 mg, comprime gastro-resistant	acide acetylsalicylique
CIS61752409	RAPAMUNE 1 mg/ml, solution buvable	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089	rapamune 1 mg/ml, solution buvable	sirolimus
CIS64597615	RAPAMUNE 1 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089	rapamune 1 mg, comprime enrobe	sirolimus
CIS65164182	RAPAMUNE 2 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089	rapamune 2 mg, comprime enrobe	sirolimus
CIS69171174	RAPAMUNE 0,5 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN2ck4sd84bb5nfqu0a0fen19iqjks8cjc	SIROLIMUS	Q32089	rapamune 0,5 mg, comprime enrobe	sirolimus
