diseaseUri	CIS	CISLabel	CISLabel_processed
Q1338684	CIS61162942	ASPEGIC 500 mg, poudre pour solution buvable en sachet-dose	aspegic 500 mg, poudre pour solution buvable en sachet-dose
Q1338684	CIS61348441	KARDEGIC 160 mg, poudre pour solution buvable en sachet	kardegic 160 mg, poudre pour solution buvable en sachet
Q1338684	CIS61172160	ASPIRINE UPSA TAMPONNEE EFFERVESCENTE 1000 mg, comprimé effervescent	aspirine upsa tamponnee effervescente 1000 mg, comprime effervescent
Q1338684	CIS61751232	MIGPRIV, poudre pour solution buvable en sachet	migpriv, poudre pour solution buvable en sachet
Q1338684	CIS63936571	ASPEGIC ADULTES 1000 mg, poudre pour solution buvable en sachet-dose	aspegic adultes 1000 mg, poudre pour solution buvable en sachet-dose
Q1338684	CIS62018101	KARDEGIC 500 mg/5 ml, poudre pour solution injectable	kardegic 500 mg/5 ml, poudre pour solution injectable
Q1338684	CIS61952274	DUOPLAVIN 75 mg/75 mg, comprimé pelliculé	duoplavin 75 mg/75 mg, comprime pellicule
Q1338684	CIS62406125	PRAVADUAL, comprimé	pravadual, comprime
Q1338684	CIS61464022	ASPIRINE PROTECT 100 mg, comprimé gastro-résistant	aspirine protect 100 mg, comprime gastro-resistant
Q1338684	CIS63346396	RESITUNE 100 mg, comprimé gastro-résistant	resitune 100 mg, comprime gastro-resistant
Q1338684	CIS66311831	ASPEGIC ENFANTS 250, poudre pour solution buvable en sachet-dose	aspegic enfants 250, poudre pour solution buvable en sachet-dose
Q1338684	CIS66769394	ASPEGIC NOURRISSONS 100 mg, poudre pour solution buvable en sachet-dose	aspegic nourrissons 100 mg, poudre pour solution buvable en sachet-dose
Q1338684	CIS64849094	NOVACETOL (ASPIRINE PARACETAMOL), comprimé	novacetol (aspirine paracetamol), comprime
Q1338684	CIS67831952	ASPIRINE UPSA VITAMINEE C TAMPONNEE EFFERVESCENTE, comprimé effervescent	aspirine upsa vitaminee c tamponnee effervescente, comprime effervescent
Q1338684	CIS69781373	ASPIRINE pH 8 500 mg, comprimé gastro-résistant	aspirine ph 8 500 mg, comprime gastro-resistant
Q1338684	CIS68300762	ASPEGIC INJECTABLE 1 g, poudre et solution pour préparation injectable	aspegic injectable 1 g, poudre et solution pour preparation injectable
Q1338684	CIS68852682	ASPEGIC INJECTABLE 500 mg/5 ml, poudre et solution pour usage parentéral	aspegic injectable 500 mg/5 ml, poudre et solution pour usage parenteral
Q1338684	CIS68799614	ASPIRINE DU RHÔNE 500 mg, comprimé	aspirine du rhone 500 mg, comprime
Q1338684	CIS64872883	ASPIRINE PROTECT 300 mg, comprimé gastro-résistant	aspirine protect 300 mg, comprime gastro-resistant
Q1338684	CIS64755969	KARDEGIC 75 mg, poudre pour solution buvable en sachet-dose	kardegic 75 mg, poudre pour solution buvable en sachet-dose
