diseaseWikidata	label	wikidata	label_processed
Q132971	neuropsychologie	Q3872	neuropsychologie
Q225957	neuropsychologie	Q3872	neuropsychologie
Q1110590	génétique	Q7162	genetique
Q332768	psychiatrie	Q7867	psychiatrie
Q360035	psychiatrie	Q7867	psychiatrie
Q360341	psychiatrie	Q7867	psychiatrie
Q377493	psychiatrie	Q7867	psychiatrie
Q510236	psychiatrie	Q7867	psychiatrie
Q629515	psychiatrie	Q7867	psychiatrie
Q640836	psychiatrie	Q7867	psychiatrie
Q144119	psychiatrie	Q7867	psychiatrie
Q152100	psychiatrie	Q7867	psychiatrie
Q160796	psychiatrie	Q7867	psychiatrie
Q188611	psychiatrie	Q7867	psychiatrie
Q209522	psychiatrie	Q7867	psychiatrie
Q209647	psychiatrie	Q7867	psychiatrie
Q268594	psychiatrie	Q7867	psychiatrie
Q1069110	psychologie	Q9418	psychologie
Q1188698	psychologie	Q9418	psychologie
Q318005	psychologie	Q9418	psychologie
Q318005	psychiatrie	Q7867	psychiatrie
Q1069110	psychiatrie	Q7867	psychiatrie
Q1106843	psychiatrie	Q7867	psychiatrie
Q1185316	psychiatrie	Q7867	psychiatrie
Q1188698	psychiatrie	Q7867	psychiatrie
Q296104	hématologie	Q103824	hematologie
Q525075	pathologie	Q7208	pathologie
Q277452	cardiologie	Q10379	cardiologie
Q268832	oncologie	Q162555	oncologie
Q300664	gastro-entérologie	Q120569	gastro-enterologie
Q695954	psychiatrie	Q7867	psychiatrie
Q696490	psychiatrie	Q7867	psychiatrie
Q786468	psychiatrie	Q7867	psychiatrie
Q815296	psychiatrie	Q7867	psychiatrie
Q856736	psychiatrie	Q7867	psychiatrie
Q929963	psychiatrie	Q7867	psychiatrie
Q144119	psychologie	Q9418	psychologie
Q152100	psychologie	Q9418	psychologie
Q160796	psychologie	Q9418	psychologie
Q188611	psychologie	Q9418	psychologie
Q209522	psychologie	Q9418	psychologie
Q377493	psychologie	Q9418	psychologie
Q510236	psychologie	Q9418	psychologie
Q280027	ophtalmologie	Q161437	ophtalmologie
Q317977	ophtalmologie	Q161437	ophtalmologie
Q281490	urologie	Q105650	urologie
Q1035226	cardiologie	Q10379	cardiologie
Q974792	gynécologie obstétrique	Q80015	gynecologie obstetrique
Q310335	endocrinologie	Q162606	endocrinologie
Q954831	neurologie	Q83042	neurologie
Q980926	neurologie	Q83042	neurologie
Q1071685	neurologie	Q83042	neurologie
Q1071707	neurologie	Q83042	neurologie
Q1135124	neurologie	Q83042	neurologie
Q1153641	neurologie	Q83042	neurologie
Q689777	neurologie	Q83042	neurologie
Q690210	neurologie	Q83042	neurologie
Q797708	neurologie	Q83042	neurologie
Q816912	neurologie	Q83042	neurologie
Q827017	neurologie	Q83042	neurologie
Q856736	neurologie	Q83042	neurologie
Q923164	neurologie	Q83042	neurologie
Q954625	hématologie	Q103824	hematologie
Q974869	hématologie	Q103824	hematologie
Q794072	gynécologie obstétrique	Q80015	gynecologie obstetrique
Q273510	dermatologie	Q171171	dermatologie
Q273510	infectiologie	Q788926	infectiologie
Q688949	cardiologie	Q10379	cardiologie
Q707837	cardiologie	Q10379	cardiologie
Q840004	cardiologie	Q10379	cardiologie
Q840646	cardiologie	Q10379	cardiologie
Q848662	cardiologie	Q10379	cardiologie
Q860167	cardiologie	Q10379	cardiologie
Q1432717	psychiatrie	Q7867	psychiatrie
Q1453767	psychiatrie	Q7867	psychiatrie
Q367756	cardiologie	Q10379	cardiologie
Q420915	cardiologie	Q10379	cardiologie
Q605576	cardiologie	Q10379	cardiologie
Q39222	chirurgie	Q40821	chirurgie
Q189331	cardiologie	Q10379	cardiologie
Q266018	cardiologie	Q10379	cardiologie
Q52856	cardiologie	Q10379	cardiologie
Q56002	cardiologie	Q10379	cardiologie
Q1297985	neurologie	Q83042	neurologie
Q1338684	neurologie	Q83042	neurologie
Q1345798	neurologie	Q83042	neurologie
Q1399155	neurologie	Q83042	neurologie
Q1399293	neurologie	Q83042	neurologie
Q1410676	neurologie	Q83042	neurologie
Q1457267	neurologie	Q83042	neurologie
Q1531991	neurologie	Q83042	neurologie
Q1339539	chirurgie	Q40821	chirurgie
Q1361515	cardiologie	Q10379	cardiologie
Q1431933	cardiologie	Q10379	cardiologie
Q1444550	cardiologie	Q10379	cardiologie
Q1506572	cardiologie	Q10379	cardiologie
Q734042	hématologie	Q103824	hematologie
Q890200	hématologie	Q103824	hematologie
Q18579	neurologie	Q83042	neurologie
Q18583	neurologie	Q83042	neurologie
Q117060	neurologie	Q83042	neurologie
Q127664	neurologie	Q83042	neurologie
Q141440	neurologie	Q83042	neurologie
Q143790	neurologie	Q83042	neurologie
Q160796	neurologie	Q83042	neurologie
Q166907	neurologie	Q83042	neurologie
Q174651	neurologie	Q83042	neurologie
Q192579	neurologie	Q83042	neurologie
Q199615	neurologie	Q83042	neurologie
Q225957	neurologie	Q83042	neurologie
Q233309	neurologie	Q83042	neurologie
Q268594	neurologie	Q83042	neurologie
Q917447	gastro-entérologie	Q120569	gastro-enterologie
Q837054	pédiatrie	Q123028	pediatrie
Q922640	pédiatrie	Q123028	pediatrie
Q397554	neurologie	Q83042	neurologie
Q432814	neurologie	Q83042	neurologie
Q493103	neurologie	Q83042	neurologie
Q494066	neurologie	Q83042	neurologie
Q495068	neurologie	Q83042	neurologie
Q511818	neurologie	Q83042	neurologie
Q551085	neurologie	Q83042	neurologie
Q652568	neurologie	Q83042	neurologie
Q656199	neurologie	Q83042	neurologie
Q1337441	hématologie	Q103824	hematologie
Q941770	gastro-entérologie	Q120569	gastro-enterologie
Q970208	gastro-entérologie	Q120569	gastro-enterologie
Q1130192	gastro-entérologie	Q120569	gastro-enterologie
Q1141055	gastro-entérologie	Q120569	gastro-enterologie
Q1147182	gastro-entérologie	Q120569	gastro-enterologie
Q1199732	gastro-entérologie	Q120569	gastro-enterologie
Q1209892	gastro-entérologie	Q120569	gastro-enterologie
Q1219219	gastro-entérologie	Q120569	gastro-enterologie
Q1224503	gastro-entérologie	Q120569	gastro-enterologie
Q1260186	gastro-entérologie	Q120569	gastro-enterologie
Q221668	urologie	Q105650	urologie
Q494066	immunologie	Q101929	immunologie
Q608085	immunologie	Q101929	immunologie
Q1529650	ophtalmologie	Q161437	ophtalmologie
Q974792	urologie	Q105650	urologie
Q1069694	urologie	Q105650	urologie
Q1088059	urologie	Q105650	urologie
Q331181	gastro-entérologie	Q120569	gastro-enterologie
Q340548	gastro-entérologie	Q120569	gastro-enterologie
Q341201	gastro-entérologie	Q120569	gastro-enterologie
Q424317	gastro-entérologie	Q120569	gastro-enterologie
Q558404	gastro-entérologie	Q120569	gastro-enterologie
Q609675	immunologie	Q101929	immunologie
Q505142	hématologie	Q103824	hematologie
Q655982	hématologie	Q103824	hematologie
Q143925	gastro-entérologie	Q120569	gastro-enterologie
Q163469	gastro-entérologie	Q120569	gastro-enterologie
Q183130	gastro-entérologie	Q120569	gastro-enterologie
Q221463	gastro-entérologie	Q120569	gastro-enterologie
Q905389	ophtalmologie	Q161437	ophtalmologie
Q917399	ophtalmologie	Q161437	ophtalmologie
Q922971	ophtalmologie	Q161437	ophtalmologie
Q859142	endocrinologie	Q162606	endocrinologie
Q877827	endocrinologie	Q162606	endocrinologie
Q625506	pédiatrie	Q123028	pediatrie
Q658873	dermatologie	Q171171	dermatologie
Q677803	dermatologie	Q171171	dermatologie
