diseaseWikidata	prefLabel	wikidata	CUI	synonyms	weight	prefLabel_processed	synonyms_processed
Q1338684	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q1077505	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q1444550	fatigue	Q9690	C0015672	epuisement;perte d'énergie;énergie diminuée;sensation de manque total d'énergie;lassitude;faiblesse;fatigue extrême;éreinté;fatigue	0.125	fatigue	epuisement;perte d'energie;energie diminuee;sensation de manque total d'energie;lassitude;faiblesse;fatigue extreme;ereinte;fatigue
Q837054	diarrhée	Q40878	C0013369	dysenterie sai;dysenterie;diarrhée infectieuse;maladie diarrhéique infectieuse	0.033	diarrhee	dysenterie sai;dysenterie;diarrhee infectieuse;maladie diarrheique infectieuse
Q1415275	paralysie	Q107231	n/a	n/a	0.167	paralysie	n/a
Q1444550	angine de poitrine	Q180762	C0002962	syndrome angineux;douleur angineuse;sténocardie;syndrome d'angor;douleur thoracique ischémique;angor pectoris;gêne angineuse;angine de poitrine;angor;maladie d'heberden	1.0	angine de poitrine	syndrome angineux;douleur angineuse;stenocardie;syndrome d'angor;douleur thoracique ischemique;angor pectoris;gene angineuse;angine de poitrine;angor;maladie d'heberden
Q837054	conjonctivite	Q167844	C0009763;C1864156	conjonctivite sai;conjonctivite, non précisée;conjonctivite	0.167	conjonctivite	conjonctivite sai;conjonctivite, non precisee;conjonctivite
Q868137	conjonctivite	Q167844	C0009763;C1864156	conjonctivite sai;conjonctivite, non précisée;conjonctivite	0.167	conjonctivite	conjonctivite sai;conjonctivite, non precisee;conjonctivite
Q408089	fatigue	Q9690	C0015672	epuisement;perte d'énergie;énergie diminuée;sensation de manque total d'énergie;lassitude;faiblesse;fatigue extrême;éreinté;fatigue	0.125	fatigue	epuisement;perte d'energie;energie diminuee;sensation de manque total d'energie;lassitude;faiblesse;fatigue extreme;ereinte;fatigue
Q460591	fatigue	Q9690	C0015672	epuisement;perte d'énergie;énergie diminuée;sensation de manque total d'énergie;lassitude;faiblesse;fatigue extrême;éreinté;fatigue	0.125	fatigue	epuisement;perte d'energie;energie diminuee;sensation de manque total d'energie;lassitude;faiblesse;fatigue extreme;ereinte;fatigue
Q137597	fatigue	Q9690	C0015672	epuisement;perte d'énergie;énergie diminuée;sensation de manque total d'énergie;lassitude;faiblesse;fatigue extrême;éreinté;fatigue	0.125	fatigue	epuisement;perte d'energie;energie diminuee;sensation de manque total d'energie;lassitude;faiblesse;fatigue extreme;ereinte;fatigue
Q192579	fatigue	Q9690	C0015672	epuisement;perte d'énergie;énergie diminuée;sensation de manque total d'énergie;lassitude;faiblesse;fatigue extrême;éreinté;fatigue	0.125	fatigue	epuisement;perte d'energie;energie diminuee;sensation de manque total d'energie;lassitude;faiblesse;fatigue extreme;ereinte;fatigue
Q243257	fatigue	Q9690	C0015672	epuisement;perte d'énergie;énergie diminuée;sensation de manque total d'énergie;lassitude;faiblesse;fatigue extrême;éreinté;fatigue	0.125	fatigue	epuisement;perte d'energie;energie diminuee;sensation de manque total d'energie;lassitude;faiblesse;fatigue extreme;ereinte;fatigue
Q837054	rhinite	Q114085	C0035455;C2718128	rhinite sai;rhinite;inflammation nasale	1.0	rhinite	rhinite sai;rhinite;inflammation nasale
Q1077505	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q1077505	ictère	Q133244	C0022346	jaunisse;ictère sai;ictère;ictere	0.25	ictere	jaunisse;ictere sai;ictere;ictere
Q1077505	flatulence	Q160184	C0016204	gaz;gaz abdominaux;météorisme;flatulences;flatulence;ballonnement;flatuosité	0.333	flatulence	gaz;gaz abdominaux;meteorisme;flatulences;flatulence;ballonnement;flatuosite
Q1432717	flexibilité cireuse	Q460263	C0233612	flexibilité cireuse;catalepsie;flexibilité cireuse de wernicke;flexibilité cireuse catatonique	1.0	flexibilite cireuse	flexibilite cireuse;catalepsie;flexibilite cireuse de wernicke;flexibilite cireuse catatonique
Q1432717	mutisme	Q671776	C0026884	mutisme	1.0	mutisme	mutisme
Q1432717	catalepsie	Q918193	n/a	n/a	1.0	catalepsie	n/a
Q460591	amnésie	Q11072	C0002622;C0002625	amnésie;amnesie;troubles amnésiques;syndrome amnésique;trouble amnésique;trouble amnésique sai	0.5	amnesie	amnesie;amnesie;troubles amnesiques;syndrome amnesique;trouble amnesique;trouble amnesique sai
Q462833	amnésie	Q11072	C0002622;C0002625	amnésie;amnesie;troubles amnésiques;syndrome amnésique;trouble amnésique;trouble amnésique sai	0.5	amnesie	amnesie;amnesie;troubles amnesiques;syndrome amnesique;trouble amnesique;trouble amnesique sai
Q868137	arthrite	Q170990	C0003864	arthrite sai;arthrosynovite;inflammation articulaire;arthrite;arthrite inflammatoire	1.0	arthrite	arthrite sai;arthrosynovite;inflammation articulaire;arthrite;arthrite inflammatoire
Q1444550	nausée	Q186889	C0027497	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausée;nauséeux;nausees	0.059	nausee	gueule de bois;mal au coeur;sensation de mal au coeur;nausee;nausee;nauseeux;nausees
Q1415275	douleur chronique	Q1088113	C0150055	douleur chronique	0.5	douleur chronique	douleur chronique
Q1415275	hypoesthésie	Q1641556	C0020580	hypoesthésie tactile;diminution de la sensibilité;hypoesthésie;hypoesthesie;hypesthésie;engourdissement	1.0	hypoesthesie	hypoesthesie tactile;diminution de la sensibilite;hypoesthesie;hypoesthesie;hypesthesie;engourdissement
Q1432717	négativisme	Q1642611	n/a	n/a	1.0	negativisme	n/a
Q693442	photophobie	Q281289	C0085636;C4020887	photophobie;sensibilité à la lumière;photosensibilité oculaire	0.25	photophobie	photophobie;sensibilite a la lumiere;photosensibilite oculaire
Q837054	fièvre légère	Q480971	C0239574	fébricule	0.333	fievre legere	febricule
Q837054	adénopathie	Q847726	C0497156	adénopathie;lymphadenopathie;lymphadénopathie	0.25	adenopathie	adenopathie;lymphadenopathie;lymphadenopathie
Q837054	xérostomie	Q1162276	C0043352	hyposécrétion salivaire;hypoptyalisme;secheresse buccale;hypo-sialorrhee;sécheresse buccale;sècheresse de la bouche;bouche sèche;salive diminuée;xerostomie;secheresse de la bouche;asialie;aptyalisme;bouche devenue sèche;sécherese orale;xérostomie	0.333	xerostomie	hyposecretion salivaire;hypoptyalisme;secheresse buccale;hypo-sialorrhee;secheresse buccale;secheresse de la bouche;bouche seche;salive diminuee;xerostomie;secheresse de la bouche;asialie;aptyalisme;bouche devenue seche;secherese orale;xerostomie
Q1444550	cervicalgie	Q3567802	C0007859	douleur cervicale;douleur du cou;douleur au cou;cervicalgie;algie cervicale;cervicodynie	0.333	cervicalgie	douleur cervicale;douleur du cou;douleur au cou;cervicalgie;algie cervicale;cervicodynie
Q1432717	oreiller psychique	Q4419854	n/a	n/a	1.0	oreiller psychique	n/a
Q1432717	catatonie agitée	Q57769952	C0233606	n/a	1.0	catatonie agitee	n/a
Q1444550	sensation de tête légère	Q57823162	C0220870	sensation ébrieuse;tête légère;sensation de tête vide;étourdissement;sensation de tête légère;sensation de tete vide	1.0	sensation de tete legere	sensation ebrieuse;tete legere;sensation de tete vide;etourdissement;sensation de tete legere;sensation de tete vide
Q980926	fièvre	Q38933	C0015967;C0085594	température élevée;fébrile;pyrexie sai;elevation de la temperature;hyperthermie;fièvre;pyrexie;élévation de la température corporelle;fiévreux;température augmentée;fievre;frissons de fièvre;frissons et fièvre	0.083	fievre	temperature elevee;febrile;pyrexie sai;elevation de la temperature;hyperthermie;fievre;pyrexie;elevation de la temperature corporelle;fievreux;temperature augmentee;fievre;frissons de fievre;frissons et fievre
Q1077505	fièvre	Q38933	C0015967;C0085594	température élevée;fébrile;pyrexie sai;elevation de la temperature;hyperthermie;fièvre;pyrexie;élévation de la température corporelle;fiévreux;température augmentée;fievre;frissons de fièvre;frissons et fièvre	0.083	fievre	temperature elevee;febrile;pyrexie sai;elevation de la temperature;hyperthermie;fievre;pyrexie;elevation de la temperature corporelle;fievreux;temperature augmentee;fievre;frissons de fievre;frissons et fievre
Q941770	hémorragie	Q166019	n/a	n/a	0.083	hemorragie	n/a
Q1077505	hémorragie	Q166019	n/a	n/a	0.083	hemorragie	n/a
Q408089	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q460591	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q39222	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q166907	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q192579	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q243257	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q272002	céphalée	Q86	C0018681	céphalée;cephalalgie;gene dans la tete;mal de tete;mal de tête;céphalée sai;céphalodynie;céphalées;douleur crânienne;maux de tête;céphalalgie;douleur dans la tête;cephalees (sf n02 n89 r09);céphalgie;cephalees	0.059	cephalee	cephalee;cephalalgie;gene dans la tete;mal de tete;mal de tete;cephalee sai;cephalodynie;cephalees;douleur cranienne;maux de tete;cephalalgie;douleur dans la tete;cephalees (sf n02 n89 r09);cephalgie;cephalees
Q460591	douleur	Q81938	C0030193	douleur sai;douleur	0.2	douleur	douleur sai;douleur
Q653383	douleur	Q81938	C0030193	douleur sai;douleur	0.2	douleur	douleur sai;douleur
Q408089	irritabilité	Q29299	C2700617	n/a	0.167	irritabilite	n/a
Q408089	toux	Q35805	C0010200	toux	0.2	toux	toux
Q848662	syncope	Q180007	C0039070	tendance lipothymique;evanouissement/syncope;syncope;lipothymie;syncope et collapsus;perte de connaissance;collapsus passager;évanouissement;etat syncopal;pâmoison;a perdu connaissance;chutes fréquentes;collapsus transitoire;evanouissement;deces	0.333	syncope	tendance lipothymique;evanouissement/syncope;syncope;lipothymie;syncope et collapsus;perte de connaissance;collapsus passager;evanouissement;etat syncopal;pamoison;a perdu connaissance;chutes frequentes;collapsus transitoire;evanouissement;deces
Q693442	vomissement	Q127076	C0042963	vomissement sai;vomi;vomissement	0.045	vomissement	vomissement sai;vomi;vomissement
Q39222	douleur	Q81938	C0030193	douleur sai;douleur	0.2	douleur	douleur sai;douleur
Q1444550	dyspnée	Q188008	C0013404	dyspnee;essouf;dyspnée;respiration difficile;difficultés à respirer;essoufflement;essoufflé(e);dyspnée sai;difficulte respiratoire;souffle court/dyspnee;difficulté respiratoire;dyspnées;souffle court	0.167	dyspnee	dyspnee;essouf;dyspnee;respiration difficile;difficultes a respirer;essoufflement;essouffle(e);dyspnee sai;difficulte respiratoire;souffle court/dyspnee;difficulte respiratoire;dyspnees;souffle court
Q837054	mal de gorge	Q1292082	n/a	n/a	0.333	mal de gorge	n/a
Q837054	congestion nasale	Q3245488	C0027429	obstruction nasale;obstruction du nez	0.5	congestion nasale	obstruction nasale;obstruction du nez
Q39222	irritabilité	Q29299	C2700617	n/a	0.167	irritabilite	n/a
Q166907	irritabilité	Q29299	C2700617	n/a	0.167	irritabilite	n/a
Q192579	irritabilité	Q29299	C2700617	n/a	0.167	irritabilite	n/a
Q408089	hypertension artérielle	Q41861	C0020538;C0497247	pression artérielle élevée;th;hypertension chronique;troubles hypertensifs vasculaires;tension arterielle e;hypertension permanente;pah;hypertension artérielle;hypertension arterielle;hypertension;hypertension sai;pression artérielle haute;augmentation tension arterielle;elevation tension arterielle;élévation de la pa;pression artérielle augmentée;pa élevée;pression sanguine augmentee;pression elevee (sf k86 k87);élévation de la pression artérielle;pression artérielle sai augmentée	1.0	hypertension arterielle	pression arterielle elevee;th;hypertension chronique;troubles hypertensifs vasculaires;tension arterielle e;hypertension permanente;pah;hypertension arterielle;hypertension arterielle;hypertension;hypertension sai;pression arterielle haute;augmentation tension arterielle;elevation tension arterielle;elevation de la pa;pression arterielle augmentee;pa elevee;pression sanguine augmentee;pression elevee (sf k86 k87);elevation de la pression arterielle;pression arterielle sai augmentee
Q408089	irritation	Q77776	C1706307	n/a	1.0	irritation	n/a
